SEO Extended,SEO Extended
Optimized URLs For Product And Category Enabled,Optimized URLs For Product And Category Enabled
Add Pager Number to<br>Meta Title,Add Pager Number to<br>Meta Title
"E.g. 'Apparel <b>| Page 3</b>'","E.g. 'Apparel <b>| Page 3</b>'"
Add Pager Number to<br>Meta Description,Add Pager Number to<br>Meta Description
"E.g. 'Description of apparel<b> | Page 2</b>'","E.g. 'Description of apparel<b> | Page 2</b>'"
"Remove Default Title Prefix/Suffix<br>for Product and Category Pages<br>","Remove Default Title Prefix/Suffix<br>for Product and Category Pages<br>"
Enable Extended Meta Title On Category Layered Navigation Pages,Enable Extended Meta Title On Category Layered Navigation Pages
"E.g. 'Phones, <b>Price $300.00 and above, Color Silver</b>'</i>","E.g. 'Phones, <b>Price $300.00 and above, Color Silver</b>'</i>"
Enable Extended Meta Description On Category Layered Navigation Pages,Enable Extended Meta Description On Category Layered Navigation Pages
Disable Meta Keywords Tag,Disable Meta Keywords Tag
