"Cache Hit","Cache Hit"
"Cache Miss","Cache Miss"
"Cache Miss (Denied by configuration)","Cache Miss (Denied by configuration)"
"Crawler - Automatic Cache Generation","Crawler - Automatic Cache Generation"
"Crawler Thread Number","Crawler Thread Number"
"Debug","Debug"
"Enable Page Cache Auto Generation","Enable Page Cache Auto Generation"
"Enable Page Cache Debug","Enable Page Cache Debug"
"Full Page Cache","Full Page Cache"
"Full Page Cache by PotatoCommerce","Full Page Cache by PotatoCommerce"
"Full page caching.","Full page caching."
"General","General"
"Ip Address(es)","Ip Address(es)"
"Max. Cache Size (Mb)","Max. Cache Size (Mb)"
"Note: If this option is enabled, then Crawler will be disabled.","Note: If this option is enabled, then Crawler will be disabled."
"Number of parallel requests for cache auto-generation process.","Number of parallel requests for cache auto-generation process."
"PotatoCommerce - Full Page Cache","PotatoCommerce - Full Page Cache"
"PotatoCommerce Full Page Cache","PotatoCommerce Full Page Cache"
"Separate cache for each unique user-agent","Separate cache for each unique user-agent"
"Time to first byte: ","Time to first byte: "
