" - Edit"," - Edit"
"",""
"Action","Action"
"Add Attendee","Add Attendee"
"Add Event","Add Event"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the attendees.","An error occurred while updating the attendees."
"An error occurred while updating the events.","An error occurred while updating the events."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Attendee Comment","Attendee Comment"
"Attendee Comments","Attendee Comments"
"Attendee comment","Attendee comment"
"Attendee was saved","Attendee was saved"
"Attendee was successfully deleted.","Attendee was successfully deleted."
"Attendee was successfully saved","Attendee was successfully saved"
"Attendee","Attendee"
"Attendees","Attendees"
"CSV","CSV"
"Change Event","Change Event"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find attendee to delete.","Could not find attendee to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find event to delete.","Could not find event to delete."
"Created at","Created at"
"Customer Id","Customer Id"
"Customer profile","Customer profile"
"Date","Date"
"Delete Attendee comment","Delete Attendee comment"
"Delete Attendee","Delete Attendee"
"Delete Event comment","Delete Event comment"
"Delete Event","Delete Event"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Attendee '%s'","Edit Attendee '%s'"
"Edit Attendee comment '%s'","Edit Attendee comment '%s'"
"Edit Event '%s'","Edit Event '%s'"
"Edit Event comment '%s'","Edit Event comment '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving attendee","Error saving attendee"
"Error saving event","Error saving event"
"Event Comment","Event Comment"
"Event Comments","Event Comments"
"Event comment","Event comment"
"Event was saved","Event was saved"
"Event was successfully deleted.","Event was successfully deleted."
"Event was successfully saved","Event was successfully saved"
"Event","Event"
"Events","Events"
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Location","Location"
"Meta description for attendees list page","Meta description for attendees list page"
"Meta information","Meta information"
"Meta keywords for attendees list page","Meta keywords for attendees list page"
"Meta title for attendees list page","Meta title for attendees list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Attendee Comments","My Attendee Comments"
"My Attendees comment view","My Attendees comment view"
"My Event Comments","My Event Comments"
"My Events comment view","My Events comment view"
"No","No"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select attendees to delete.","Please select attendees to delete."
"Please select attendees.","Please select attendees."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select events to delete.","Please select events to delete."
"Please select events.","Please select events."
"Position","Position"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Attendee comment","Save Attendee comment"
"Save Attendee","Save Attendee"
"Save Event comment","Save Event comment"
"Save Event","Save Event"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The attendees has been deleted.","The attendees has been deleted."
"The events has been deleted.","The events has been deleted."
"There was a problem saving the attendee.","There was a problem saving the attendee."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the event.","There was a problem saving the event."
"There was an error deleting attendee.","There was an error deleting attendee."
"There was an error deleting attendees.","There was an error deleting attendees."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting event.","There was an error deleting event."
"There was an error deleting events.","There was an error deleting events."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating attendees.","There was an error updating attendees."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating events.","There was an error updating events."
"This attendee does not allow comments","This attendee does not allow comments"
"This attendee no longer exists.","This attendee no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This event does not allow comments","This event does not allow comments"
"This event no longer exists.","This event no longer exists."
"Title","Title"
"Total of %d attendees were successfully deleted.","Total of %d attendees were successfully deleted."
"Total of %d attendees were successfully updated.","Total of %d attendees were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d events were successfully deleted.","Total of %d events were successfully deleted."
"Total of %d events were successfully updated.","Total of %d events were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find attendee to save.","Unable to find attendee to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find event to save.","Unable to find event to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for attendees.","You have submitted no comments for attendees."
"You have submitted no comments for events.","You have submitted no comments for events."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"