" - Edit"," - Edit"
"",""
"Action","Action"
"Add Import","Add Import"
"Add Product","Add Product"
"An error occurred while updating the imports.","An error occurred while updating the imports."
"An error occurred while updating the products.","An error occurred while updating the products."
"Are you sure?","Are you sure?"
"Attributes","Attributes"
"CSV","CSV"
"Categories","Categories"
"Change Import","Change Import"
"Change status","Change status"
"Could not find import to delete.","Could not find import to delete."
"Could not find product to delete.","Could not find product to delete."
"Created at","Created at"
"Date","Date"
"Delete Import","Delete Import"
"Delete Product","Delete Product"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Edit Import '%s'","Edit Import '%s'"
"Edit Product '%s'","Edit Product '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving import","Error saving import"
"Error saving product","Error saving product"
"Excel","Excel"
"Home","Home"
"Id","Id"
"Import Date","Import Date"
"Import was saved","Import was saved"
"Import was successfully deleted.","Import was successfully deleted."
"Import was successfully saved","Import was successfully saved"
"Import","Import"
"Imports","Imports"
"No","No"
"None","None"
"Object","Object"
"Page Number","Page Number"
"Please select imports to delete.","Please select imports to delete."
"Please select imports.","Please select imports."
"Please select products to delete.","Please select products to delete."
"Please select products.","Please select products."
"Position","Position"
"Product was saved","Product was saved"
"Product was successfully deleted.","Product was successfully deleted."
"Product was successfully saved","Product was successfully saved"
"Product","Product"
"Products","Products"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Import","Save Import"
"Save Product","Save Product"
"Sku","Sku"
"Status","Status"
"Store views","Store views"
"The imports has been deleted.","The imports has been deleted."
"The products has been deleted.","The products has been deleted."
"There was a problem saving the import.","There was a problem saving the import."
"There was a problem saving the product.","There was a problem saving the product."
"There was an error deleting import.","There was an error deleting import."
"There was an error deleting imports.","There was an error deleting imports."
"There was an error deleting product.","There was an error deleting product."
"There was an error deleting products.","There was an error deleting products."
"There was an error updating imports.","There was an error updating imports."
"There was an error updating products.","There was an error updating products."
"This import no longer exists.","This import no longer exists."
"This product no longer exists.","This product no longer exists."
"Total of %d imports were successfully deleted.","Total of %d imports were successfully deleted."
"Total of %d imports were successfully updated.","Total of %d imports were successfully updated."
"Total of %d products were successfully deleted.","Total of %d products were successfully deleted."
"Total of %d products were successfully updated.","Total of %d products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find import to save.","Unable to find import to save."
"Unable to find product to save.","Unable to find product to save."
"Updated at","Updated at"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"